timestamp,open,high,low,close,volume
2024-01-02,99.68,100.46,99.43,100.21,1000000
2024-01-03,99.97,100.75,99.72,100.50,1120000
2024-01-04,100.34,101.12,100.09,100.87,1240000
2024-01-05,100.79,101.57,100.54,101.32,1360000
2024-01-08,101.32,102.10,101.07,101.85,1480000
2024-01-09,101.93,102.71,101.68,102.46,1600000
2024-01-10,102.62,103.40,102.37,103.15,1720000
2024-01-11,103.39,104.17,103.14,103.92,1000000
2024-01-12,104.24,105.02,103.99,104.77,1120000
2024-01-15,104.45,105.23,104.20,104.98,1240000
2024-01-16,104.74,105.52,104.49,105.27,1360000
2024-01-17,105.11,105.89,104.86,105.64,1480000
2024-01-18,105.56,106.34,105.31,106.09,1600000
2024-01-19,106.09,106.87,105.84,106.62,1720000
2024-01-22,106.70,107.48,106.45,107.23,1000000
2024-01-23,107.39,108.17,107.14,107.92,1120000
2024-01-24,108.16,108.94,107.91,108.69,1240000
2024-01-25,109.01,109.79,108.76,109.54,1360000
2024-01-26,109.22,110.00,108.97,109.75,1480000
2024-01-29,109.51,110.29,109.26,110.04,1600000
2024-01-30,109.88,110.66,109.63,110.41,1720000
2024-01-31,110.33,111.11,110.08,110.86,1000000
2024-02-01,110.86,111.64,110.61,111.39,1120000
2024-02-02,111.47,112.25,111.22,112.00,1240000
2024-02-05,112.16,112.94,111.91,112.69,1360000
2024-02-06,112.93,113.71,112.68,113.46,1480000
2024-02-07,113.78,114.56,113.53,114.31,1600000
2024-02-08,113.99,114.77,113.74,114.52,1720000
2024-02-09,114.28,115.06,114.03,114.81,1000000
2024-02-12,114.65,115.43,114.40,115.18,1120000
2024-02-13,115.10,115.88,114.85,115.63,1240000
2024-02-14,115.63,116.41,115.38,116.16,1360000
2024-02-15,116.24,117.02,115.99,116.77,1480000
2024-02-16,116.93,117.71,116.68,117.46,1600000
2024-02-19,117.70,118.48,117.45,118.23,1720000
2024-02-20,118.55,119.33,118.30,119.08,1000000
2024-02-21,118.76,119.54,118.51,119.29,1120000
2024-02-22,119.05,119.83,118.80,119.58,1240000
2024-02-23,119.42,120.20,119.17,119.95,1360000
2024-02-26,119.87,120.65,119.62,120.40,1480000
2024-02-27,120.40,121.18,120.15,120.93,1600000
2024-02-28,121.01,121.79,120.76,121.54,1720000
2024-02-29,121.70,122.48,121.45,122.23,1000000
2024-03-01,122.47,123.25,122.22,123.00,1120000
2024-03-04,123.32,124.10,123.07,123.85,1240000
2024-03-05,123.53,124.31,123.28,124.06,1360000
2024-03-06,123.82,124.60,123.57,124.35,1480000
2024-03-07,124.19,124.97,123.94,124.72,1600000
2024-03-08,124.64,125.42,124.39,125.17,1720000
2024-03-11,125.17,125.95,124.92,125.70,1000000
2024-03-12,125.78,126.56,125.53,126.31,1120000
2024-03-13,126.47,127.25,126.22,127.00,1240000
2024-03-14,127.24,128.02,126.99,127.77,1360000
2024-03-15,128.09,128.87,127.84,128.62,1480000
2024-03-18,128.30,129.08,128.05,128.83,1600000
2024-03-19,128.59,129.37,128.34,129.12,1720000
2024-03-20,128.96,129.74,128.71,129.49,1000000
2024-03-21,129.41,130.19,129.16,129.94,1120000
2024-03-22,129.94,130.72,129.69,130.47,1240000
2024-03-25,130.55,131.33,130.30,131.08,1360000
2024-03-26,131.24,132.02,130.99,131.77,1480000
2024-03-27,132.01,132.79,131.76,132.54,1600000
2024-03-28,132.86,133.64,132.61,133.39,1720000
2024-03-29,133.07,133.85,132.82,133.60,1000000
2024-04-01,133.36,134.14,133.11,133.89,1120000
2024-04-02,133.73,134.51,133.48,134.26,1240000
2024-04-03,134.18,134.96,133.93,134.71,1360000
2024-04-04,134.71,135.49,134.46,135.24,1480000
2024-04-05,135.32,136.10,135.07,135.85,1600000
2024-04-08,136.01,136.79,135.76,136.54,1720000
2024-04-09,136.78,137.56,136.53,137.31,1000000
2024-04-10,137.63,138.41,137.38,138.16,1120000
2024-04-11,137.84,138.62,137.59,138.37,1240000
2024-04-12,138.13,138.91,137.88,138.66,1360000
2024-04-15,138.50,139.28,138.25,139.03,1480000
2024-04-16,138.95,139.73,138.70,139.48,1600000
2024-04-17,139.48,140.26,139.23,140.01,1720000
2024-04-18,140.09,140.87,139.84,140.62,1000000
2024-04-19,140.78,141.56,140.53,141.31,1120000
2024-04-22,141.55,142.33,141.30,142.08,1240000
2024-04-23,142.40,142.78,142.15,142.53,1360000
2024-04-24,142.21,142.59,141.96,142.34,1480000
2024-04-25,142.10,142.48,141.85,142.23,1600000
2024-04-26,142.07,142.45,141.82,142.20,1720000
2024-04-29,142.12,142.50,141.87,142.25,1000000
2024-04-30,142.25,142.63,142.00,142.38,1120000
2024-05-01,142.46,142.84,142.21,142.59,1240000
2024-05-02,142.75,143.13,142.50,142.88,1360000
2024-05-03,143.12,143.50,142.87,143.25,1480000
2024-05-06,143.57,143.95,143.32,143.70,1600000
2024-05-07,143.38,143.76,143.13,143.51,1720000
2024-05-08,143.27,143.65,143.02,143.40,1000000
2024-05-09,143.24,143.62,142.99,143.37,1120000
2024-05-10,143.29,143.67,143.04,143.42,1240000
2024-05-13,143.42,143.80,143.17,143.55,1360000
2024-05-14,143.63,144.01,143.38,143.76,1480000
2024-05-15,143.92,144.30,143.67,144.05,1600000
2024-05-16,144.29,144.67,144.04,144.42,1720000
2024-05-17,144.74,145.12,144.49,144.87,1000000
2024-05-20,144.55,144.93,144.30,144.68,1120000
2024-05-21,144.44,144.82,144.19,144.57,1240000
2024-05-22,144.41,144.79,144.16,144.54,1360000
2024-05-23,144.46,144.84,144.21,144.59,1480000
2024-05-24,144.59,144.97,144.34,144.72,1600000
2024-05-27,144.80,145.18,144.55,144.93,1720000
2024-05-28,145.09,145.47,144.84,145.22,1000000
2024-05-29,145.46,145.84,145.21,145.59,1120000
2024-05-30,145.91,146.29,145.66,146.04,1240000
2024-05-31,145.72,146.10,145.47,145.85,1360000
2024-06-03,145.61,145.99,145.36,145.74,1480000
2024-06-04,145.58,145.96,145.33,145.71,1600000
2024-06-05,145.63,146.01,145.38,145.76,1720000
2024-06-06,145.76,146.14,145.51,145.89,1000000
2024-06-07,145.97,146.35,145.72,146.10,1120000
2024-06-10,146.26,146.64,146.01,146.39,1240000
2024-06-11,146.63,147.01,146.38,146.76,1360000
2024-06-12,147.08,147.46,146.83,147.21,1480000
2024-06-13,146.89,147.27,146.64,147.02,1600000
2024-06-14,146.78,147.16,146.53,146.91,1720000
2024-06-17,146.75,147.13,146.50,146.88,1000000
